#,SVM,SVM,Natural Validation,ServRep Validation,,metatag,Client Script,DIT / Dialog Act,Organic Study Pose
12,positive,0.85,positive,positive,,Positive Response,Great news.,,
14,positive,0.81,positive,positive,,Positive Response,That's so nice to hear.,,
16,positive,0.79,positive,positive,,Positive Response,Not when I get to chat with lovely people like you all day.,,
17,positive,0.77,positive,positive,,Positive Response,I'm doing great today.,,
27,positive,0.7,positive,positive,,Positive Response,Excellent.,,
28,positive,0.66,neutral,positive,,Positive Response,I'm pretty sure I understood.,,
29,positive,0.64,positive,positive,,Positive Response,You're nice too.,,
35,positive,0.57,positive,positive,,Positive Response,I really like the internet.,,
36,positive,0.56,positive,positive,,Positive Response,Sounds clever and it is.,,
49,positive,0.39,positive,positive,,Positive Response,Well done on speaking to a charity.,,
52,positive,0.36,positive,positive,,Positive Response,Very well.,,
57,positive,0.32,positive,positive,,Positive Response,its great that you have kept your contact details up to date.,,
63,positive,0.27,positive,positive,,Positive Response,Absolutely.,,
74,positive,0.17,positive,positive,,Positive Response,Anytime.,,
78,positive,0.14,positive,positive,,Positive Response,YOU BET.,,
87,neutral,0.08,neutral,positive,,Positive Response,But I'm sure I got that.,,
196,neutral,0,positive,positive,,Positive Response,Yes we do.,,
247,neutral,0,positive,positive,,Positive Response,Sure do.,,
267,neutral,0,neutral,positive,,Positive Response,O K then.,,
375,neutral,0,neutral,positive,,Positive Response,Almost done.,,
396,neutral,-0.04,neutral,positive,,Positive Response,That's useful.,,
405,neutral,-0.01,neutral,positive,,Positive Response,Me too.,,
423,negative,-0.6,neutral,positive,,Positive Response,I think I get you.,,
33,positive,0.58,neutral,positive,,Question,Is a hippopotamus really a hippopotamus or just a really cool opotamus?,Information Seeking Functions>Question>Indirect Question,04. Question Indirect
47,positive,0.42,neutral,positive,,Question,So correct?,Information Seeking Functions>Question>Direct Question,02. Question Direct
69,positive,0.2,positive,positive,,Question,How was your day?,Information Seeking Functions>Question>Direct Question,02. Question Direct
109,neutral,0,neutral,positive,,Question,would you like me to explain how to suspend it now?,Action Discussion Functions>Commissives>Offer>Service Offer,03. UnfurlLow
133,neutral,0,neutral,positive,,Question,or would you prefer to look at the general information online first?,Action Discussion Functions>Commissives>Offer>Service Offer,03. UnfurlLow
141,neutral,0,neutral,positive,,Question,or both?,Action Discussion Functions>Commissives>Offer>Service Offer,03. UnfurlLow
142,neutral,0,neutral,positive,,Question,or are you ready to see the FOUR steps in action?,Action Discussion Functions>Commissives>Offer>Invitation,03. UnfurlLow
143,neutral,0,neutral,positive,,Question,or are you having problems with it?,,
144,neutral,0,neutral,positive,,Question,or a full time tertiary student who's over the age of EIGHTEEN?,,
157,neutral,0,neutral,positive,,Question,is your mortgage held with us?,,
162,neutral,0,neutral,positive,,Question,do you wanna hear more about payments?,,
163,neutral,0,neutral,positive,,Question,did you trade in your maintenance plan for a current subscription?,,
167,neutral,0,neutral,positive,,Question,can you give my colleagues a call on the number I've popped in the window.,,
168,neutral,0,neutral,positive,,Question,can you ask me your first question again and I'll try and help.,,
169,neutral,0,neutral,positive,,Question,can we try again?,,
174,neutral,0,neutral,positive,,Question,and what date will the next visit be?,,
197,neutral,0,neutral,positive,,Question,Would you like to watch the process in action now or go to the overview page?,,
198,neutral,0,neutral,positive,,Question,Would you like to view the video again?,,
199,neutral,0,neutral,positive,,Question,Would you like to update any of your contact details?,,
200,neutral,0,neutral,positive,,Question,Would you like to talk about an overdraft?,,
201,neutral,0,neutral,positive,,Question,Would you like to see observational feedback in action?,,
202,neutral,0,neutral,positive,,Question,Would you like to review our list of supported browsers?,,
203,neutral,0,neutral,positive,,Question,Would you like to know why payments can be held up?,,
204,neutral,0,neutral,positive,,Question,Would you like to know more.,,
205,neutral,0,neutral,positive,,Question,Would you like to know how the interest is calculated?,,
206,neutral,0,neutral,positive,,Question,Would you like to hear about a contributions holiday.,,
207,neutral,0,neutral,positive,,Question,Would you like the contact numbers?,,
208,neutral,0,neutral,positive,,Question,Would you like me to print your separation agreement or would you prefer an email.,,
209,neutral,0,neutral,positive,,Question,Would you like help with anything else today?,,
210,neutral,0,neutral,positive,,Question,Who would you like to start with?,,
211,neutral,0,neutral,positive,,Question,Who is it you want to pay?,,
212,neutral,0,neutral,positive,,Question,Which of theses topics would you like to look at first?,,
213,neutral,0,neutral,positive,,Question,Which of the other links would you like to hear about or would you like to exit?,,
214,neutral,0,neutral,positive,,Question,Which of the other links would you like to hear about or are you done for now?,,
215,neutral,0,neutral,positive,,Question,Which download method do you plan to use?,,
216,neutral,0,neutral,positive,,Question,Where are you traveling to?,,
217,neutral,0,neutral,positive,,Question,Whats the reason you have been signed off?,,
218,neutral,0,neutral,positive,,Question,Whats the difference between a guitar and a fish?,,
219,neutral,0,neutral,positive,,Question,What's the date of your next appointment?,,
220,neutral,0,neutral,positive,,Question,What would you like to do next?,,
221,neutral,0,neutral,positive,,Question,What would you like to ask me?,,
222,neutral,0,neutral,positive,,Question,What is the NDIS doing to increase housing options?,,
223,neutral,0,neutral,positive,,Question,What do you call a sad cup of coffee?,,
224,neutral,0,neutral,positive,,Question,What did you want to ask about?,,
261,neutral,0,neutral,positive,,Question,Or you can ask me what we can talk about?,,
285,neutral,0,neutral,positive,,Question,Is your card a Credit Card an Eftpos card or a Visa Debit card?,,
286,neutral,0,neutral,positive,,Question,Is there anything else that I can get you?,,
322,neutral,0,neutral,positive,,Question,How long does it take to find out if I'm eligible for the NDIS?,,
323,neutral,0,neutral,positive,,Question,How do group homes work under the NDIS?,,
324,neutral,0,neutral,positive,,Question,How do I get an Access Request Form?,,
325,neutral,0,neutral,positive,,Question,How do I change a review?,,
326,neutral,0,neutral,positive,,Question,How do I apply?,,
335,neutral,0,neutral,positive,,Question,Have you been here before or is this your first time?,,
336,neutral,0,neutral,positive,,Question,Has an IBAN code been requested?,,
339,neutral,0,neutral,positive,,Question,Does that sum it up?,,
340,neutral,0,neutral,positive,,Question,Do you?,,
341,neutral,0,neutral,positive,,Question,Do you want to exit this animated experience and take it from the top.,,
342,neutral,0,neutral,positive,,Question,Do you know how I work?,,
343,neutral,0,neutral,positive,,Question,Do you have something to write with?,,
344,neutral,0,neutral,positive,,Question,Do you have any other overdraft questions today?,,
345,neutral,0,neutral,positive,,Question,Do you have another banking question for me today?,,
346,neutral,0,neutral,positive,,Question,Do you have a joint account with the same person with us already?,,
347,neutral,0,neutral,positive,,Question,Do you have a banking question on your mind today?,,
348,neutral,0,neutral,positive,,Question,Did you want to know how I work.,,
349,neutral,0,neutral,positive,,Question,Did I understand this correctly?,,
353,neutral,0,neutral,positive,,Question,Could you try typing instead?,,
356,neutral,0,neutral,positive,,Question,Can you tell me what you observed that went well with the mop?,,
357,neutral,0,neutral,positive,,Question,Can you tell me what bits of the NDIS you want to know more about?,,
358,neutral,0,neutral,positive,,Question,Can you repeat your question.,,
359,neutral,0,neutral,positive,,Question,Can you give me something like R THREE NINE or R OH TWO?,,
360,neutral,0,neutral,positive,,Question,Can I help with anything else today?,,
364,neutral,0,neutral,positive,,Question,Before we get started would you like to learn more about the currency?,,
365,neutral,0,neutral,positive,,Question,Are you looking for a new card?,,
366,neutral,0,neutral,positive,,Question,Are you currently receiving any form of regular income such as wages or benefits?,,
367,neutral,0,neutral,positive,,Question,Are you already using Internet Banking?,,
368,neutral,0,neutral,positive,,Question,Are you able to pay for basic living expenses like power.,,
369,neutral,0,neutral,positive,,Question,Are you a current AutoCAD user?,,
371,neutral,0,neutral,positive,,Question,Anything else I can help you with today?,,
407,neutral,0,neutral,positive,,Question,or get more general information?,,
412,negative,-0.9,neutral,positive,,Question,Why don't ants get sick?,,
422,negative,-0.61,neutral,positive,,Question,could you repeat what you said I think I misheard?,,
431,negative,-0.53,neutral,positive,,Question,Not a winner?,,
451,negative,-0.35,negative,positive,,Question,What was that again?,,
474,negative,-0.22,neutral,positive,,Question,was that autopay or credit disputes?,,
483,negative,-0.17,neutral,positive,,Question,And you?,,
486,negative,-0.15,neutral,positive,,Question,Starting over?,,
490,negative,-0.12,negative,positive,,Question,injury or palliative care?,,
493,negative,-0.12,neutral,positive,,Question,You haven't?,,
21,positive,0.75,positive,positive,,Service Offer,I'm happy to assist you with anything about MBFS timelines and payments.,,
34,positive,0.57,neutral,positive,,Service Offer,Or if you prefer you're welcome to ask me another question.,,
39,positive,0.54,neutral,positive,,Service Offer,I can only help you figure out your license type.,,
43,positive,0.51,neutral,positive,,Service Offer,Now I can help you tackle these.,,
51,positive,0.39,neutral,positive,,Service Offer,I'm curious if you'd be interested in a new credit card.,,
53,positive,0.36,neutral,positive,,Service Offer,There's lots to chat about if you're interested in sending money overseas.,,
56,positive,0.33,neutral,positive,,Service Offer,I can help you reset your password.,,
60,positive,0.28,neutral,positive,,Service Offer,I can help you with managing your contract.,,
72,positive,0.19,neutral,positive,,Service Offer,I can help you uninstall you Autodesk product.,,
82,positive,0.1,neutral,positive,,Service Offer,I can help you with that.,,
88,neutral,0.07,neutral,positive,,Service Offer,you can ask us to review it.,,
97,neutral,0.01,neutral,positive,,Service Offer,and we'll work through exactly what your needs are and what we can do for you.,,
101,neutral,0.01,neutral,positive,,Service Offer,If you're old enough to ask me.,,
106,neutral,0,neutral,positive,,Service Offer,you can find the link to the chatbox at any time.,,
108,neutral,0,neutral,positive,,Service Offer,you can choose to purchase an AutoCAD including specialized tool sets subscription.,,
114,neutral,0,neutral,positive,,Service Offer,we have options available to assist.,,
115,neutral,0,neutral,positive,,Service Offer,we can reissue a card and you can sign it on the spot.,,
158,neutral,0,neutral,positive,,Service Offer,if you're unable to meet essential living or medical costs.,,
227,neutral,0,neutral,positive,,Service Offer,We offer a free A to Z Financial Review service.,,
228,neutral,0,neutral,positive,,Service Offer,We can keep your options open for now.,,
290,neutral,0,neutral,positive,,Service Offer,If you're an ANZ customer who uses Internet Banking or goMoney.,,
291,neutral,0,neutral,positive,,Service Offer,If you see a list of the installed components.,,
292,neutral,0,neutral,positive,,Service Offer,If you prefer to do things in person.,,
293,neutral,0,neutral,positive,,Service Offer,If you have a different question please just give our team a call.,,
294,neutral,0,neutral,positive,,Service Offer,If you have a different question it might be best to give our team a call.,,
314,neutral,0,neutral,positive,,Service Offer,I can help you with questions about registering and activating Autodesk Software.,,
315,neutral,0,neutral,positive,,Service Offer,I can help you with questions about downloads and upgrades.,,
316,neutral,0,neutral,positive,,Service Offer,I can help you with a variety of payments.,,
317,neutral,0,neutral,positive,,Service Offer,I can give you the number to call.,,
318,neutral,0,neutral,positive,,Service Offer,I can explain how to replace.,,
319,neutral,0,neutral,positive,,Service Offer,I can explain how to log in and set or change your password.,,
373,neutral,0,neutral,positive,,Service Offer,Alternatively if you would rather speak with an agent I can get you to someone else.,,
411,negative,-0.91,neutral,positive,,Service Offer,if you're not receiving any income at all just the expenditure part of this.,,
416,negative,-0.69,negative,positive,,Service Offer,If you don't like the idea of a face looking at you.,,
476,negative,-0.22,negative,positive,,Service Offer,If you're suffering financial hardship.,,
